Date,Symbol
2013-04-26,BLL
2013-04-29,BLL
2013-04-30,BLL
2013-05-01,BLL
2013-05-02,BLL
2013-05-16,BLL
2013-05-23,BLL
2013-05-24,BLL
2013-05-28,BLL
2013-05-29,BLL
2013-06-19,BLL
2014-01-29,BLL
2014-03-07,BLL
2014-03-10,BLL
2014-03-11,BLL
2014-06-02,BLL
2014-06-12,BLL
2014-06-13,BLL
2014-06-16,BLL
2014-06-17,BLL
2014-06-18,BLL
2014-06-19,BLL
2014-06-23,BLL
2014-06-30,BLL
2014-07-02,BLL
2014-07-03,BLL
2014-07-07,BLL
2014-07-08,BLL
2014-07-11,BLL
2014-07-16,BLL
2014-07-17,BLL
2014-07-18,BLL
2014-07-21,BLL
2014-07-22,BLL
2014-07-23,BLL
2014-07-24,BLL
2014-07-25,BLL
2014-07-28,BLL
2014-07-29,BLL
2014-07-30,BLL
2014-07-31,BLL
2014-08-01,BLL
2014-10-01,BLL
2014-10-02,BLL
2014-10-10,BLL
2014-10-13,BLL
2014-12-09,BLL
2014-12-11,BLL
2014-12-23,BLL
2014-12-24,BLL
2014-12-26,BLL
2014-12-29,BLL
2014-12-30,BLL
2015-01-07,BLL
2015-01-08,BLL
2015-01-12,BLL
2015-01-16,BLL
2015-01-22,BLL
2015-01-26,BLL
2015-01-27,BLL
2015-01-28,BLL
2015-08-06,BLL
2015-08-07,BLL
2015-08-11,BLL
2015-08-12,BLL
2015-08-13,BLL
2015-08-19,BLL
2015-08-20,BLL
2016-02-23,BLL
2016-02-26,BLL
2016-03-07,BLL
2016-03-08,BLL
2016-03-09,BLL
2016-03-10,BLL
2016-03-15,BLL
2017-06-19,BLL
2017-06-22,BLL
2017-06-23,BLL
2017-06-26,BLL
2017-06-27,BLL
2017-06-28,BLL
2017-06-30,BLL
2017-07-03,BLL
2017-07-05,BLL
2017-07-06,BLL
2017-07-07,BLL
2017-07-10,BLL
2017-07-17,BLL
2017-07-18,BLL
2017-07-19,BLL
2017-07-20,BLL
2017-07-21,BLL
2017-07-24,BLL
2017-07-25,BLL
2017-07-26,BLL
2017-07-27,BLL
2017-08-24,BLL
2017-08-25,BLL
2017-08-28,BLL
2017-08-29,BLL
2017-08-30,BLL
2017-08-31,BLL
2017-09-05,BLL
2017-09-07,BLL
2017-09-11,BLL
2017-11-09,BLL
2017-11-10,BLL
2017-11-13,BLL
2017-11-14,BLL
2017-11-15,BLL
2017-11-20,BLL
2017-11-21,BLL
2017-11-22,BLL
2017-11-28,BLL
2017-11-29,BLL
2017-12-01,BLL
2017-12-04,BLL
2017-12-12,BLL
2017-12-14,BLL
2017-12-18,BLL
2017-12-20,BLL
2018-10-08,BLL
2018-10-09,BLL
2018-10-16,BLL
2018-10-18,BLL
2018-10-19,BLL
2018-10-22,BLL
2018-11-09,BLL
2018-11-14,BLL
2018-11-19,BLL
2018-11-21,BLL
2018-11-26,BLL
2018-11-27,BLL
2018-11-28,BLL
2018-11-29,BLL
2018-11-30,BLL
2018-12-03,BLL
2018-12-04,BLL
2018-12-06,BLL
2018-12-07,BLL
2018-12-10,BLL
2018-12-11,BLL
2018-12-12,BLL
2018-12-13,BLL
2018-12-14,BLL
2018-12-17,BLL
2018-12-18,BLL
2019-04-01,BLL
2019-04-05,BLL
2019-04-08,BLL
2019-04-17,BLL
2019-04-24,BLL
2019-04-26,BLL
2019-04-29,BLL
2019-04-30,BLL
2019-05-01,BLL
2019-05-07,BLL
2019-05-08,BLL
2019-05-09,BLL
2019-05-13,BLL
2019-05-14,BLL
2019-05-28,BLL
2011-02-09,AMGN
2011-02-10,AMGN
2011-02-18,AMGN
2011-02-22,AMGN
2011-02-24,AMGN
2011-02-25,AMGN
2011-03-04,AMGN
2011-03-07,AMGN
2011-08-04,AMGN
2011-08-05,AMGN
2011-08-08,AMGN
2011-08-09,AMGN
2011-08-10,AMGN
2011-08-11,AMGN
2011-08-12,AMGN
2011-08-15,AMGN
2011-08-16,AMGN
2011-08-17,AMGN
2011-08-19,AMGN
2011-08-22,AMGN
2011-08-23,AMGN
2011-08-24,AMGN
2011-08-25,AMGN
2011-08-26,AMGN
2011-08-29,AMGN
2011-08-30,AMGN
2011-09-01,AMGN
2011-09-02,AMGN
2011-09-06,AMGN
2011-09-07,AMGN
2011-09-08,AMGN
2011-09-12,AMGN
2011-09-14,AMGN
2011-09-15,AMGN
2011-09-16,AMGN
2011-10-03,AMGN
2011-10-06,AMGN
2011-10-10,AMGN
2011-10-11,AMGN
2012-02-15,AMGN
2012-02-16,AMGN
2012-02-17,AMGN
2012-02-22,AMGN
2012-02-23,AMGN
2012-02-24,AMGN
2012-08-08,AMGN
2012-08-13,AMGN
2012-08-20,AMGN
2012-08-21,AMGN
2012-09-27,AMGN
2012-10-11,AMGN
2012-10-12,AMGN
2012-12-21,AMGN
2012-12-27,AMGN
2012-12-28,AMGN
2012-12-31,AMGN
2013-01-10,AMGN
2013-01-16,AMGN
2013-01-17,AMGN
2013-01-18,AMGN
2013-01-22,AMGN
2013-01-23,AMGN
2013-01-24,AMGN
2013-01-25,AMGN
2013-01-31,AMGN
2013-02-04,AMGN
2013-02-07,AMGN
2013-02-11,AMGN
2013-02-13,AMGN
2013-02-14,AMGN
2013-02-20,AMGN
2013-04-12,AMGN
2013-04-23,AMGN
2013-04-25,AMGN
2013-04-30,AMGN
2014-04-11,AMGN
2014-05-28,AMGN
2014-05-29,AMGN
2014-05-30,AMGN
2014-06-02,AMGN
2014-06-03,AMGN
2014-06-05,AMGN
2014-06-06,AMGN
2014-06-10,AMGN
2014-06-11,AMGN
